Matrícula,Atuando em,Movimentação
37070,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
48780,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
136573,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
149314,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
197378,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
22969,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
37150,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
7986,GT Aperf de Tec Pert ao Sist Processual de Form de Prec Qualif e Comb Uso Ind do Sist de Justica,
82678,Juizado Especial Civel e Criminal da Comarca de Abaetetuba,Respondendo
204081,Juizado Especial Civel e Criminal da Comarca de Braganca,Respondendo
197092,Juizado Especial Civel e Criminal da Comarca de Breves,Respondendo
